english	spanish	accepted_es	accepted_en	split
i do not agree	no estoy de acuerdo	no estoy de acuerdo	i do not agree|i dont agree|no i agree	train
i wanted to cry	quise llorar	quise llorar	i wanted to cry	train
i feel fine now	me siento bien ahora	me siento bien ahora	i feel fine now	train
i can help tom	puedo ayudar a tom	puedo ayudar a tom	i can help tom	train
ill go	yo iré	iré|yo iré	ill go	train
i killed a god	maté a un dios	maté a un dios	i killed a god	train
this is her pen	este es su bolígrafo	este es su bolígrafo	this is her pen	train
i am good	soy bueno	estoy bien|soy bueno	i am good	train
it hurts	duele	duele	it hurts	train
he lives by himself	él vive solo	él vive solo	he lives alone|he lives by himself	train
theres no milk left	no queda leche	no queda leche	theres no milk left	train
i totally forgot	me olvidé totalmente	me olvidé totalmente	i totally forgot	train
water please	agua por favor	agua por favor	water please	train
who ate ?	¿ quién comió ?	¿ quién comió ?	who ate ?	train
tom isnt lying	tom no está mintiendo	tom no está mintiendo	tom isnt lying	train
were a family	somos una familia	somos una familia	we are a family|were a family	train
you may speak	puedes hablar	puedes hablar	you may speak	train
you arent yourself	estás fuera de ti	estás fuera de ti	you arent yourself	train
suddenly i got lucky	de repente tuve suerte	de repente tuve suerte	suddenly i got lucky	train
you are my life	tú eres mi vida	tú eres mi vida	you are my life	train
ive missed another chance	me perdí otra oportunidad	me perdí otra oportunidad	ive missed another chance	train
its raining here	está lloviendo aquí	está lloviendo aquí	its raining here	train
nobody helped her	nadie le ayudó	nadie la ayudó|nadie le ayudó	nobody helped her	train
he closed his eyes	él cerró los ojos	él cerró los ojos	he closed his eyes	train
tom is in danger	tom está en peligro	tom está en peligro	tom is in danger	train
that is a table	esta es una mesa	esta es una mesa	that is a table	train
its the truth	es la verdad	es la verdad	its the truth	train
tom was trapped	tom estaba atrapado	tom estaba atrapado	tom was trapped	train
almost always	casi siempre	casi siempre	almost always	train
youre small	eres pequeño	eres pequeño	youre small	train
someone please help me	alguien ayúdeme por favor	alguien ayúdeme por favor	someone please help me	train
youre toms friend	eres amigo de tom	eres amigo de tom	youre toms friend	train
i see a house	veo una casa	veo una casa	i see a house	train
someone is coming	alguien viene	alguien viene	someone is coming	train
come immediately	ven enseguida	ven enseguida	come at once|come immediately	train
are you bored ?	¿ estás aburrida ?	¿ estás aburrida ?|¿ estás aburrido ?	are you bored ?	train
tom hates you	tom te odia	tom te odia	tom hates you	train
tom is always tired	tom siempre está cansado	tom siempre está cansado	tom is always tired	train
you too my son	tú también hijo mío	tú también hijo mío	you too my son	train
i really should go	realmente debería irme	realmente debería irme	i really should go	train
he worked hard	él trabajó duro	él trabajó duro	he worked hard	train
what an idiot !	¡ qué idiota !	¡ qué idiota !	what an idiot !	train
tom drives too fast	tom conduce demasiado rápido	tom conduce demasiado rápido	tom drives too fast	train
i sing	canto	canto|yo canto	i sing	train
nobody lives with me	nadie vive conmigo	nadie vive conmigo|no vivo con nadie	nobody lives with me	train
i hate fighting	detesto pelear	detesto pelear|odio pelear	i hate fighting|i hate to fight	train
he is spanish	él es español	él es español	he is spanish	train
it was cold yesterday	ayer hacía frío	ayer hacía frío|ayer hizo frío	it was cold yesterday	train
its not complicated	no es complicado	no es complicado	its not complicated	train
nobody came	nadie vino	nadie vino|no ha venido nadie|no vino nadie	no one came|nobody came	train
i have everything	tengo de todo	tengo de todo|tengo todo	i have everything|ive got anything	train
we like music	nos gusta la música	nos gusta la música	we like music	train
i dont see him	no lo veo	no lo veo	i dont see him|i dont see it	train
tom wants to talk	tom quiere hablar	tom quiere hablar	tom wants to speak|tom wants to talk	train
ive got long hair	tengo el pelo largo	tengo el pelo largo	ive got long hair	train
our food is cheap	nuestra comida es barata	nuestra comida es barata	our food is cheap	train
she tried to swim	ella intentó nadar	ella intentó nadar	she tried to swim	train
im sorry mother	lo lamento madre	lo lamento madre	im sorry mother	train
im busy now	ahora estoy ocupado	ahora estoy ocupada|ahora estoy ocupado	i am busy now|im busy now	train
studying is not easy	estudiar no es fácil	estudiar no es fácil|no es fácil estudiar	studying is not easy	train
were ready to play	estamos listos para jugar	estamos listos para jugar	were ready to play	train
he is from france	él es francés	viene de francia|él es de francia|él es francés	he is french|he is from france	train
it gets better	se pone mejor	se pone mejor	it gets better	train
we need more time	necesitamos más tiempo	necesitamos más tiempo	we need more time	train
you sure are pretty	eres realmente hermoso	eres realmente hermosa|eres realmente hermoso	you sure are pretty|youre really beautiful	train
try it ziri	inténtalo ziri	inténtalo ziri	try it ziri	train
it was so dark	estaba tan oscuro	estaba tan oscuro	it was so dark	train
i knew it	lo sabía	lo sabía	i knew it|i knew that	train
i hate people	odio a la gente	odio a la gente	i hate people	train
i agree completely	estoy totalmente de acuerdo	estoy totalmente de acuerdo	i agree completely|i couldnt agree more|i totally agree	train
everyone wants to believe	todos quieren creer	todos quieren creer	everyone wants to believe	train
home sweet home	hogar dulce hogar	hogar dulce hogar	home sweet home	train
i shall leave school	dejaré la escuela	dejaré la escuela	i shall leave school	train
dont die on me	no te me mueras	no te me mueras	dont die on me	train
you look wonderful tonight	esta noche estás preciosa	esta noche estás preciosa	you look wonderful tonight	train
you make me dream	tú me haces soñar	me haces soñar|tú me haces soñar	you make me dream	train
i want them	los quiero	las quiero|los quiero	i want them	train
youve come back ?	¿ habéis vuelto ?	¿ habéis vuelto ?|¿ has vuelto ?	youve come back ?	train
these are yours	estos son tuyos	estos son tuyos|éstos son tuyos	these are yours	train
first its too expensive	primero es demasiado caro	primero es demasiado caro	first its too expensive	train
we know him	lo conocemos	lo conocemos	we know him|we know that|we know this	train
come on lets go	vamos vamos allá	vamos|vamos vamos allá	come on lets go	train
here take this	coge esto	coge esto|toma coge esto	here take this	train
his eyes are red	tiene los ojos rojos	tiene los ojos rojos	his eyes are red	train
i blame tom	yo culpo a tom	yo culpo a tom	i blame tom	train
are you japanese ?	¿ sos japonés ?	¿ eres japonés ?|¿ sos japonés ?	are you japanese ?	train
he is not stupid	él no es idiota	no es estúpido|no es tonto|no es un tonto|él no es estúpido|él no es idiota	he is not stupid|hes not an idiot	train
nothing will help	nada va a ayudar	nada va a ayudar	nothing will help	train
you are home late	llega tarde a casa	llega tarde a casa	you are home late	train
rain is wonderful	la lluvia es maravillosa	la lluvia es maravillosa	rain is wonderful|the rain is wonderful	train
like it or not	quieras o no	quieras o no	like it or not	train
french is difficult	el francés es difícil	el francés es difícil	french is difficult	train
do it for me	hágalo por mí	hágalo por mí	do it for me	train
theres your friend	ahí está su amigo	ahí está su amigo	theres his friend|theres your friend	train
i did see it	yo lo vi	yo lo vi	i did see it	train
she is not here	no está aquí	ella no está aquí|no está aquí	he is not here|he is not in|hes not here|hes not in|it isnt here|she is not here|shes not here	train
my girlfriend was crying	mi novia estaba llorando	mi novia estaba llorando	my girlfriend was crying	train
i didnt want that	yo no quería eso	yo no quería eso|yo no quise eso	i didnt want that	train
he began	él empezó	él empezó	he began	train
i made john happy	hice feliz a john	hice feliz a john	i made john happy	train
youre a teacher	sos un maestro	eres un maestro|sos profesor|sos un maestro|tú eres un profesor|tú eres una profesora	you are a teacher|youre a teacher	train
tom could see nothing	tom no veía nada	tom no veía nada	tom could see nothing|tom couldnt see anything	train
i love spring	yo amo la primavera	yo amo la primavera	i love spring	train
they are big	son grandes	son grandes	they are big	train
you dont say	no me digas	no me digas	you dont say	train
we already know	nosotros ya sabemos	nosotros ya sabemos	we already know	train
ive broken my glasses	he roto mis lentes	he roto mis lentes	ive broken my glasses	train
go ahead	adelante	adelante	go ahead|go ahead !	train
she knew too much	ella sabía demasiado	ella sabía demasiado	she knew too much	train
youll never find it	nunca lo encontrarás	nunca lo encontrarás	youll never find it	train
never again	nunca más	nunca más	never again	train
dont be ridiculous	no seas ridículo	no seas ridícula|no seas ridículo	dont be ridiculous	train
she shot him	le disparó	le disparó	she shot him	train
it is not raining	no está lloviendo	no está lloviendo	it is not raining	train
we have rice	tenemos arroz	tenemos arroz	we have rice	train
my watch is broken	mi reloj está roto	mi reloj está roto	my watch is broken	train
i dont believe it	yo no lo creo	yo no lo creo	i dont believe it	train
i wasnt alone	yo no estaba sólo	yo no estaba sólo	i wasnt alone	train
those are my books	esos son mis libros	esos son mis libros	those are my books	train
its cold	hace frío	está frío|hace frío	its cold	train
im here live	estoy aquí en vivo	estoy aquí en vivo	im here live	train
we were talking	estábamos hablando	estábamos hablando	we were talking	train
im very hungry now	ahora tengo mucha hambre	ahora tengo mucha hambre	im very hungry now	train
i am weak	estoy débil	estoy débil	i am weak|im weak	train
you start	tú empieza	tú empieza	you start	train
the boy eats bread	el chico come pan	el chico come pan	the boy eats bread	train
its not safe here	no es seguro aquí	no es seguro aquí	its not safe here	train
this computer doesnt work	este ordenador no funciona	este ordenador no funciona	this computer doesnt work	train
that is not true	eso no es verdad	eso no es cierto|eso no es verdad	that is not true|thats not true	train
his story was interesting	su historia fue interesante	su historia fue interesante	his story was interesting	train
tom wants mary	tom quiere a mary	tom quiere a mary	tom likes mary|tom wants mary	train
thats his horse	este es su caballo	este es su caballo	thats his horse|this is his horse	train
im totally confused	estoy totalmente confundida	estoy totalmente confundida	im totally confused	train
you can wait outside	podés esperar afuera	podés esperar afuera	you can wait outside	train
this clock is mine	este reloj es mío	este reloj es mío	this clock is mine	train
thats our problem	ese es nuestro problema	ese es nuestro problema	thats our problem	train
she needs help	ella necesita ayuda	ella necesita ayuda	she needs help	train
thats weird	es raro	es raro|eso es extraño	thats weird	train
is that better ?	¿ está mejor ?	¿ está mejor ?	is that better ?	train
john has a pen	john tiene un bolígrafo	john tiene un bolígrafo	john has a pen	train
im tired and bored	estoy cansada y aburrida	estoy cansada y aburrida|estoy cansado y aburrido	im tired and bored	train
tom is our friend	tom es nuestro amigo	tom es nuestro amigo	tom is our friend	train
she paid nothing	ella no pagó nada	ella no pagó nada	she paid nothing	train
you should know that	deberías saberlo	deberías saberlo	you should know it|you should know that	train
i bought a ticket	compré un boleto	compré un boleto	i bought a ticket	train
his opinion is reasonable	su opinión es razonable	su opinión es razonable	his opinion is reasonable	train
its very difficult	es muy difícil	es muy difícil	its very difficult	train
was it fun ?	¿ era divertido ?	¿ era divertido ?|¿ fue divertido ?	was it fun ?	train
were having dinner	estamos cenando	estamos cenando	were having dinner	train
you dead	estás muerto	estás muerto	you dead|youre dead	train
i am japanese	soy japonés	soy japonesa|soy japonés	i am japanese	train
theres one more	hay uno más	hay una más|hay uno más	theres one more	train
he walked away	él se fue	él se fue	he walked away	train
no i didnt help	no no ayudé	no no ayudé	no i didnt help	train
its under the table	está bajo la mesa	está bajo la mesa	its under the table	train
he was sound asleep	él estaba profundamente dormido	él estaba profundamente dormido	he was fast asleep|he was sound asleep	train
this is my wife	ella es mi esposa	ella es mi esposa|esta es mi esposa	shes my wife|thats my wife|this is my wife	train
i like english	me gusta el inglés	me gusta el inglés	i like english	train
this is your key	esta es vuestra llave	esta es vuestra llave|ésta es tu llave	this is your key	train
thats a lie !	¡ qué mentira !	¡ qué mentira !	thats a lie !|what a lie !	train
you can wait here	podés esperar acá	podés esperar acá|puedes esperar aquí	you can wait here	train
i understand this	comprendo esto	comprendo esto|entiendo esto|lo comprendo	i understand this	train
nothing was wrong	nada estuvo mal	nada estaba mal|nada estuvo mal	nothing was wrong	train
put on your hat	ponte tu sombrero	ponte tu sombrero	put on your hat	train
tom is our enemy	tom es nuestro enemigo	tom es nuestro enemigo	tom is our enemy	train
youre a nice girl	eres una chica agradable	eres una chica agradable	youre a nice girl	train
im not hungry anymore	ya no tengo hambre	ya no tengo hambre	im not hungry anymore	train
ken wants a bicycle	ken quiere una bicicleta	ken quiere una bicicleta	ken wants a bicycle	train
someone is calling you	alguien te está llamando	alguien te está llamando	someone is calling you	train
dont go there	no vayas ahí	no vayas ahí	dont go there	train
im not sad	no estoy triste	no estoy triste	im not sad	train
tom seemed really embarrassed	tom parecía verdaderamente avergonzado	tom parecía verdaderamente avergonzado	tom seemed really embarrassed	train
im studying english	estoy estudiando inglés	estoy estudiando inglés	im studying english	train
hey dont go	oye no vayas	oye no vayas	hey dont go	train
were short on time	tenemos poco tiempo	tenemos poco tiempo	were short on time	train
hi	¡ hola !	hola|¡ hola !	hello !|hi|hi !	train
i didnt see tom	no vi a tom	no vi a tom	i didnt see tom	train
he hates running	odia correr	odia correr	he hates running	train
ken is happy	ken es feliz	ken es feliz	ken is happy	train
we have had enough	hemos tenido suficiente	hemos tenido suficiente	we have had enough|weve had enough	train
its not so far	no está tan lejos	no está tan lejos	its not so far|its not that far	train
tom fell down	tom se cayó	tom se cayó	tom fell|tom fell down	train
were out of wine	no tenemos más vino	no tenemos más vino	were out of wine	train
nobody does it better	nadie lo hace mejor	nadie lo hace mejor	nobody does it better	train
come with me	venga conmigo	ven conmigo|venga conmigo|vengan conmigo	come along with me|come with me|youre coming with me	train
you were pregnant	estabas embarazada	estabas embarazada	you were pregnant	train
i dont know that	eso no lo sé	eso no lo sé	i dont know that	train
your cat is black	tu gato es negro	tu gato es negro	your cat is black	train
youre boring	tú estás aburrido	tú estás aburrido	youre boring	train
its my job	es mi trabajo	es mi trabajo	its my job|its work	train
lets not go there	no vayamos allá	no nos vayamos allá|no vayamos allá	lets not go there	train
im not happy	no soy feliz	no estoy feliz|no soy feliz|yo no soy feliz	im not happy	train
she is talking	ella está hablando	ella está hablando	she is talking	train
stop please	por favor párate	por favor párate	stop please	train
i dont know yet	todavía no lo sé	todavía no lo sé	i dont know yet	train
i dont believe you	no te creo	no te creo	i dont believe you	train
his silence surprised me	su silencio me sorprendió	su silencio me sorprendió	her silence surprised me|his silence surprised me	train
tom drove very fast	tom condujo muy rápido	tom condujo muy rápido	tom drove very fast	train
you can smoke here	aquí se puede fumar	aquí se puede fumar|podéis fumar aquí|puede fumar aquí|pueden fumar aquí|puedes fumar aquí|se puede fumar aquí	you can smoke here	train
this table is white	esta mesa es blanca	esta mesa es blanca	this table is white	train
you fix it	tú arregla	arregla|tú arregla|usted arregla	you fix it	train
stay calm	mantén la calma	mantén la calma	stay calm	train
its completely dark	está totalmente oscuro	está totalmente oscuro	its completely dark	train
did you help ?	¿ ustedes ayudaron ?	¿ usted ayudó ?|¿ ustedes ayudaron ?	did you help ?	train
the horse ran fast	el caballo corrió rápido	el caballo corrió rápido	the horse ran fast	train
she isnt running	ella no está corriendo	ella no está corriendo	she isnt running	train
mary misled you	mary te engañó	mary te engañó	mary misled you	train
im not forgetful	no soy olvidadizo	no soy olvidadizo	im not forgetful	train
i dont trust anyone	no confío en nadie	no confío en nadie	i dont trust anyone	train
we must leave early	debemos irnos temprano	debemos irnos temprano	we must leave early	train
im the best	soy el mejor	soy el mejor	im the best	train
this car is his	ése es su coche	ése es su coche	that is his car|this car is his	train
he likes sleeping	le gusta dormir	le gusta dormir	he likes sleeping|she likes sleeping	train
its raining hard	llueve mucho	llueve mucho	it is raining hard|its raining hard	train
this game is boring	este juego es aburrido	este juego es aburrido	this game is boring	train
they dont understand	ellos no entienden	ellos no entienden	they dont understand	train
you told her yes	le dijiste que sí	le dijiste que sí	you told her so|you told her yes|you told him so	train
tom stopped speaking	tom dejó de hablar	tom dejó de hablar	tom stopped speaking	train
do you drink ?	¿ bebe usted ?	¿ bebe usted ?	do you drink ?	train
we didnt talk yesterday	ayer no hablamos	ayer no hablamos	we didnt talk yesterday	train
this way its hard	así es difícil	así es difícil	this way its hard	train
i feel your pain	comparto tu dolor	comparto su dolor|comparto tu dolor|comparto vuestro dolor|siento tu dolor	i feel your pain	train
i like my friends	me gustan mis amigos	me gustan mis amigas|me gustan mis amigos	i like my friends	train
oh im sorry	oh lo siento	oh lo siento	oh im sorry	train
dreams are free	los sueños son gratis	los sueños son gratis	dreams are free	train
its fine with me	por mí está bien	por mí está bien	its fine with me|its ok with me	train
cool off !	¡ cálmate !	¡ cálmate !	cool off !	train
tom doesnt think so	tom no piensa así	tom no piensa así	tom doesnt think so	train
you work too much	trabajas demasiado	trabajas demasiado	you work too hard|you work too much	train
tom looked surprised	tomás parecía sorprendido	tomás parecía sorprendido	tom looked surprised	train
i was sleepy	tenía sueño	tenía sueño	i was sleepy	train
this is my phone	este es mi teléfono	este es mi teléfono	this is my phone	train
the people are angry	la gente está enfadada	la gente está enfadada	the people are angry	train
just leave us alone	déjanos en paz	déjanos en paz	just leave us alone	train
tom is quite dangerous	tom es bastante peligroso	tom es bastante peligroso	tom is quite dangerous	train
i am a cook	soy cocinero	soy cocinero	i am a cook	train
i saw him again	le vi nuevamente	le vi nuevamente	i saw him again	train
its going to rain	va a llover	va a llover	its going to rain	train
thats terrible	eso es terrible	eso es terrible	thats terrible	train
just a little more	sólo un poco más	sólo un poco más	just a little more	train
tom sings	tom canta	tom canta	tom is singing|tom sings	train
i eat cheese	yo como queso	yo como queso	i eat cheese	train
tom heard you	tom te oyó	tom te oyó	tom heard you	train
tom was with mary	tom estaba con mary	tom estaba con mary	tom was with mary	train
and you ?	¿ y vosotras ?	¿ y tú ?|¿ y usted ?|¿ y ustedes ?|¿ y vosotras ?|¿ y vosotros ?	and you ?	train
i am working	estoy trabajando	estoy trabajando|yo trabajo	i am working|i work|im working	train
shes the best teacher	es la mejor profesora	es la mejor profesora	shes the best teacher	train
good night tatoeba	buenas noches tatoeba	buenas noches tatoeba	good night tatoeba	train
he is an italian	él es italiano	él es italiano	he is an italian	train
lets start	comencemos	comencemos	let us begin|lets begin|lets get started|lets start|lets start !	train
she wants one	ella quiere una	ella quiere una|ella quiere uno	she wants one	train
im not working today	hoy no trabajo	hoy no trabajo	im not working today	train
im not your daughter	no soy tu hija	no soy tu hija	im not your daughter	train
tom went in there	tom fue allí dentro	tom fue allí dentro	tom went in there	train
tom can swim well	tom puede nadar bien	tom puede nadar bien	tom can swim well	train
i think its disgusting	creo que es repugnante	creo que es repugnante	i think its disgusting	train
shut the door quickly	cierra la puerta rápidamente	cierra la puerta rápidamente	shut the door quickly	train
lets go away	vámonos	vámonos	lets go away	train
never tell a lie	no mientas nunca	no mientas nunca	never tell a lie	train
it was real	fue real	fue real	it was real	train
were not in danger	no estamos en peligro	no estamos en peligro	were not in danger	train
i like eating cake	me gusta comer pastel	me gusta comer pastel|me gusta comer tarta	i like eating cake	train
toms early	tom llega temprano	tom llega temprano	toms early	train
are you sleepy ?	¿ tienes sueño ?	¿ tienes sueño ?	are you sleepy ?	train
she watched him dance	ella lo vio bailar	ella lo vio bailar	she watched him dance	train
they know me	ellos me conocen	ellos me conocen	they know me	train
i always hate homework	siempre odio la tarea	siempre odio la tarea	i always hate homework	train
its already late	ya es tarde	ya es tarde	its already late	train
ive eaten	he comido	he comido	ive eaten	train
tom had no food	tom no tenía comida	tom no tenía comida	tom had no food	train
i bought that car	compré ese coche	compré ese carro|compré ese coche	i bought that car	train
tom this is mary	tom ésta es mary	tom ésta es mary	tom this is mary	train
am i pretty ?	¿ soy linda ?	¿ soy linda ?	am i pretty ?	train
we have finished lunch	terminamos de almorzar	terminamos de almorzar	we have finished lunch	train
say what you want	di lo que quieras	di lo que quieras	say what you want	train
you teach arabic	usted enseña árabe	usted enseña árabe	you teach arabic	train
they dont speak french	ellos no hablan francés	ellos no hablan francés	they dont speak french	train
he opened his mouth	él abrió la boca	él abrió la boca	he opened his mouth	train
youre too nice	eres demasiado amable	eres demasiado amable	youre too nice	train
you were right	tú tenías razón	tú tenías razón	you were right	train
see you on monday	nos vemos el lunes	nos vemos el lunes	see you on monday	train
good	bien	bien|bueno	good	train
please let me help	por favor déjame ayudar	por favor déjame ayudar	please let me help	train
he is wearing glasses	él lleva puesto lentes	lleva gafas|él lleva gafas|él lleva puesto lentes	he is wearing glasses|he wears glasses	train
we understand	lo entendemos	lo entendemos	we understand|we understand that|we understand this	train
leave my camera alone	deja mi cámara	deja mi cámara	leave my camera alone	train
im a normal girl	soy una chica normal	soy una chica normal	im a normal girl	train
thats absolutely correct	eso es totalmente correcto	eso es totalmente correcto	thats absolutely correct|thats absolutely right	train
its not that complicated	no es tan complicado	no es tan complicado	its not that complicated	train
we want more money	queremos más plata	queremos más plata	we want more money	train
youre kidding !	¡ estás bromeando !	¡ estás bromeando !	youre joking !|youre kidding !	train
i am a boy	soy un chico	soy un chico	i am a boy	train
mary was hiding	mary se estaba escondiendo	mary se estaba escondiendo	mary was hiding	train
give me her picture	dame su foto	dame su foto	give me her picture|give me his picture	train
her family loved me	su familia me quería	su familia me quería	her family loved me|his family loved me	train
i have to live	tengo que vivir	tengo que vivir	i have to live	train
toms mean	tom es malo	tom es malo	tom is bad|toms mean	train
the fish can swim	el pez puede nadar	el pez puede nadar|el pez sabe nadar	the fish can swim	train
i said yes	dije que sí	dije que sí	i said yes	train
toms canadian	tom es canadiense	tom es canadiense	tom is a canadian|tom is canadian|toms canadian	train
we didnt know that	no lo sabíamos	no lo sabíamos	we didnt know that	train
tom went pale	tom se quedó pálido	tom se quedó pálido	tom went pale	train
thanks for everything tom	gracias por todo tomás	gracias por todo tomás	thanks for everything tom	train
we dont have sugar	no tenemos azúcar	no tenemos azúcar	we dont have sugar|we have no sugar	train
the chance is gone	la oportunidad se fue	la oportunidad se fue	the chance is gone	train
the man is naked	el hombre está desnudo	el hombre está desnudo	the man is naked	train
my russian is terrible	mi ruso es terrible	mi ruso es terrible	my russian is terrible	train
youre a good friend	sos un buen amigo	sos un buen amigo	youre a good friend	train
i come from boston	vengo de boston	vengo de boston	i come from boston	train
sweet dreams tom	dulces sueños tom	dulces sueños tom	sweet dreams tom	train
im already rich	yo ya soy rico	yo ya soy rico	im already rich	train
youre too normal	eres demasiado normal	eres demasiado normal	youre too normal	train
kids listen !	¡ niños escuchen !	¡ niños escuchen !	children listen !|kids listen !	train
tom seemed lost	tomás parecía perdido	tomás parecía perdido	tom seemed lost	train
she came !	¡ ella vino !	¡ ella vino !	she came !	train
we heard	ya oímos	oímos|ya oímos	we heard	train
the water is hot	el agua está caliente	el agua está caliente	the water is hot	train
everythings under control	todo está bajo control	todo está bajo control	everything is under control|everythings under control	train
im so happy	estoy tan feliz	estoy tan feliz|soy tan feliz	im so happy	train
its complicated	es complicado	es complicado	its complicated	train
im first	yo voy primero	me toca primero|soy el primero|voy el primero|yo voy primero	im first	train
your parents love you	tus padres te quieren	tus padres te quieren	your parents love you	train
its like a dream	es como un sueño	es como un sueño	its like a dream	train
tom began talking	tom empezó a hablar	tom empezó a hablar	tom began talking|tom began to speak|tom began to talk	train
you look healthy	te ves sano	te ves sano	you look healthy	train
we dont know him	no lo conocemos	no lo conocemos	we dont know him	train
im going with tom	voy con tom	voy con tom	im going with tom	train
she may come	puede que venga	puede que venga	she may come|she might come	train
tom isnt here	tom no está aquí	tom no está aquí	tom isnt here	train
this isnt possible	no es posible	no es posible	this isnt possible	train
were rich	somos ricos	somos ricos	were rich	train
he went back home	volvió a casa	volvió a casa|él volvió a casa	he went back home	train
its easy	es fácil	es fácil	its easy	train
his bicycle is blue	su bicicleta es azul	su bicicleta es azul	her bicycle is blue|his bicycle is blue	train
we love eating apples	nos encanta comer manzanas	nos encanta comer manzanas	we love eating apples	train
tom was very tired	tom estaba muy cansado	tom estaba muy cansado	tom was very tired	train
its cold here	hace frío acá	hace frío acá	its cold here	train
youre not listening	no estás escuchando	no estás escuchando	youre not listening	train
theyre waiting	están esperando	están esperando	theyre waiting	train
i completely forgot	me olvidé completamente	me olvidé completamente	i completely forgot	train
this soup tastes good	esta sopa sabe bien	esta sopa sabe bien	this soup tastes good	train
tom writes well	tom escribe bien	tom escribe bien	tom writes well	train
tom doesnt eat meat	tom no come carne	tom no come carne	tom doesnt eat meat	train
is it yours ?	¿ es suyo ?	¿ es suyo ?|¿ es tuyo ?|¿ es vuestro ?	is it yours ?	train
she has lost weight	ella ha perdido peso	ella ha perdido peso	she has lost weight	train
you must do work	tenés que trabajar	tenés que trabajar|tienes que trabajar	you must do work|you must work	train
you can come in	puedes entrar	puedes entrar	you can come in	train
you are big	sos grande	sos grande	you are big	train
theres still time	aún hay tiempo	aún hay tiempo	theres still time	train
remember everything	recuerda todo	recuerda todo	remember everything	train
i have a car	tengo un coche	tengo un carro|tengo un coche	i have a car	train
we need more beer	necesitamos más cerveza	necesitamos más cerveza	we need more beer	train
i have a plan	yo tengo un plan	yo tengo un plan	i have a plan	train
ask tom	pregúntale a tom	pregúntale a tom	ask tom	train
theyre about to start	están por empezar	están por empezar	theyre about to start	train
please turn over	date vuelta por favor	date vuelta por favor	please turn over	train
im feeling sad	me siento triste	me siento triste	im feeling sad	train
we can go together	podemos ir juntos	podemos ir juntos	we can go together	train
is it you ?	¿ eres tú ?	¿ eres tú ?	is it you ?|is that you ?|is this you ?	train
i found these	yo encontré estos	yo encontré estos	i found these	train
it hurts so much	duele tanto	duele tanto	it hurts so much	train
tom looks dead	tomás parece estar muerto	tomás parece estar muerto	tom looks dead	train
good luck !	¡ buena suerte !	¡ buena suerte !	good luck !	train
hungry ?	¿ hambriento ?	¿ hambriento ?|¿ tienes hambre ?	hungry ?	train
anything else ?	¿ algo más ?	¿ algo más ?	anything else ?	train
write spanish	escribe español	escribe español	write spanish	train
i know your name	yo sé tu nombre	yo sé tu nombre	i know your name	train
let tom in	dejar entrar a tom	dejar entrar a tom	let tom in	train
were still here	todavía estamos aquí	todavía estamos aquí	were still here	train
the boy is working	el chico está trabajando	el chico está trabajando	the boy is working	train
tom is very kind	tom es muy amable	tom es muy amable	tom is very kind	train
they dont live here	no viven aquí	no viven aquí	they dont live here	train
theyre writing	están escribiendo	están escribiendo	theyre writing	train
i am already prepared	ya estoy preparado	ya estoy preparado	i am already prepared|im already ready	train
i see the problem	ya veo el problema	ya veo el problema	i see the problem	train
cats are smart	los gatos son inteligentes	los gatos son inteligentes	cats are smart	train
hes not married	él no está casado	él no está casado	he is not married|he isnt married|hes not married	train
mary did not cry	mary no lloró	mary no lloró	mary did not cry	train
nobody hugged tom	nadie abrazó a tom	nadie abrazó a tom	no one hugged tom|nobody hugged tom	train
i dont drink	yo no bebo	yo no bebo|yo no tomo	i dont drink	train
i found my book	encontré mi libro	encontré mi libro	i found my book	train
her daughter is sick	su hija está enferma	su hija está enferma	her daughter is sick	train
give me a minute	dame un minuto	dame un minuto	give me a minute	train
sweet dreams !	¡ felices sueños !	¡ dulces sueños !|¡ felices sueños !	sweet dreams !	train
were running late	vamos tarde	se nos hizo tarde|vamos tarde	were running late	train
it was toms fault	fue culpa de tom	fue culpa de tom	it was toms fault	train
i am not afraid	no tengo miedo	no estoy asustado|no tengo miedo	i am not afraid|im not afraid|im not scared	train
everybody paid	todo el mundo pagó	todo el mundo pagó	everybody paid	train
were always busy	siempre estamos ocupados	siempre estamos ocupados	were always busy	train
thats not interesting	eso no es interesante	eso no es interesante	thats not interesting	train
i am studying	estoy estudiando	estoy estudiando	i am studying|i study|im studying	train
tom is very strong	tom es muy fuerte	tom es muy fuerte	tom is very strong	train
im from boston	soy de boston	soy de boston	im from boston	train
we like her	ella nos agrada	ella nos agrada	we like her	train
its always good	siempre es bueno	siempre es bueno	its always good	train
tom called me	me ha llamado tom	me ha llamado tom	tom called me	train
i get things done	hago las cosas	hago las cosas	i get things done	train
say something	¡ decid algo !	¡ decid algo !|¡ di algo !	say something|say something !	train
thats great !	¡ qué bien !	¡ qué bien !	thats great !	train
weve lost again	hemos vuelto a perder	hemos vuelto a perder	weve lost again	train
its totally my fault	es totalmente mi culpa	es totalmente mi culpa	its totally my fault	train
were working	estamos trabajando	estamos trabajando	were working	train
we like tom	tom nos gusta	queremos a tom|tom nos gusta	we like tom	train
i like my job	me gusta mi trabajo	me gusta mi trabajo	i like my job	train
he seems sick	él se ve enfermo	él parece enfermo|él se ve enfermo	he seems ill|he seems sick	train
tom is not dead	tom no ha muerto	tom no ha muerto	tom is not dead|tom isnt dead	train
